-2392,3842,-33
-2320,6442,-22
-964,8338,-6
-3108,11174,-18
-2088,11818,-9
-1884,12934,-7
-2372,17554,-8
-1864,15662,-7
-1360,19014,-9
-2396,17786,-7
-1052,17414,-8
-2884,17218,-4
-2712,18162,-6
-1540,16294,-4
-2164,14654,-7
-604,13674,-2
-1264,11266,-6
-504,8466,-2
-960,6878,-7
-520,5546,-5
-1084,2618,-22
-188,-205,-137
1523,-3025,153
-1012,-5889,-170
447,-7217,176
-188,-9821,-178
-604,-9961,-176
375,-12181,178
-360,-12397,-178
47,-13889,179
-1124,-16933,-175
-1468,-14945,-174
167,-13845,179
-724,-13661,-176
-636,-12225,-177
-1168,-12605,-176
-1772,-9561,-175
-140,-8169,-173
-1468,-5385,-179
-1896,-3849,-164
-1980,-1769,-137
-2584,1246,-60
-2380,2490,-37
-2152,5614,-25
-1892,8838,-13
-1488,9694,-8
-2620,13362,-11
-2940,12778,-12
-3164,16194,-11
-2840,16702,-9
-1164,17446,-3
-1844,18266,-5
-2092,17310,-6
-2056,18438,-6
-2660,17222,-8
-1220,15214,-4
-2352,14438,-9
-2188,13434,-8
-488,11362,-2
-1440,9326,-8
-1848,7770,-12
455,4310,6
79,3094,-5
1003,-89,-106
-588,-3377,166
1299,-4649,170
-580,-8149,178
455,-9573,-173
575,-11029,-177
75,-12389,179
-484,-12837,-177
-1192,-15045,-175
487,-15393,178
-148,-15049,-179
-80,-15341,-179
-320,-13489,-178
-1116,-12713,-174
-1596,-13037,-173
251,-10061,178
615,-8685,175
-808,-7253,-173
-1296,-3193,-159
-1820,-1633,-136
-1188,1006,-50
-688,4026,-11
-2028,4150,-20
-208,8122,-1
-2732,11574,-13
-1032,10706,-4
-3504,14554,-8
-1328,15838,-6
-1020,17886,-13
-2172,16118,-9
-144,18178,-7
-2224,18634,-4
-1744,18746,-4
-48,16998,0
-340,15866,-1
-156,15434,0
-1264,12602,-5
-1664,11858,-7
-1728,9442,-10
-988,7610,-7
-2784,5638,-26
207,3650,3
-44,-393,-173
355,-2121,170
843,-5209,170
-296,-7537,-177
1879,-10517,168
1183,-11613,174
-212,-12181,-179
183,-14841,179
-364,-13257,-178
675,-14569,177
231,-15461,178
-1136,-14501,177
-852,-14229,-177
-1480,-14329,179
-428,-11833,-176
-1060,-10673,-179
-1028,-8981,-174
-612,-7257,-171
-2128,-4497,-153
607,-2353,167
-1564,546,-115
-2552,3810,-33
-2764,4610,-30
-2160,8574,-14
-2120,10670,-11
-1620,11170,-8
-1568,15254,-5
-1648,15786,-5
-2944,17482,-9
-2676,16630,-8
-1892,17462,-6
-1628,19134,-4
-2808,18506,-8
-924,16938,-3
-1400,17026,-4
71,14974,0
-1056,12634,-3
-344,11734,-2
215,10086,-9
-1616,6842,0
-1244,5510,24
-328,3670,5
543,-869,105
-1136,-3721,-173
