-14192,-1825,-4356,4788,-154
-14968,-1857,-1616,4774,-149
-13608,-2317,159,4956,-108
-14856,-1773,911,4977,-69
-14440,-2581,4079,4927,-36
-13464,-1913,5539,4960,-26
-13740,-2509,7275,4676,-19
-11736,-1621,8647,4758,-15
-10840,-2921,9731,4901,-14
-11400,-2709,11871,4754,-12
-9328,-2433,12047,4796,-12
-7136,-2425,13147,4767,-11
-5428,-2209,14263,4839,-9
-4456,-2341,15787,5003,-9
-2896,-2601,15155,4771,-9
-500,-2329,16251,4555,-7
-248,-1873,16135,5058,-8
2395,-2577,16815,4942,-8
3635,-1921,15703,5115,-6
5239,-1605,15639,4908,-6
7363,-2141,14579,4864,-6
8579,-1417,15195,4945,-6
10399,-1273,12599,4860,-10
13587,-1693,11927,4909,-5
12611,-1857,11623,4934,-9
14499,-729,10051,5105,-3
15043,-1529,6963,4703,-11
16739,-889,7119,4882,-9
16027,-1021,5963,4909,-9
17547,-933,2499,4699,-13
17627,90,1303,4794,0
18691,-5,383,4851,-42
17463,-1697,-1912,4911,-121
18487,-217,-4280,4670,-177
16575,-313,-6076,4680,-175
17695,-601,-7144,4837,-179
15663,-605,-8416,4793,179
14099,-349,-9548,4914,-179
14635,214,-11524,4981,179
12727,110,-13372,4798,-179
11363,-209,-13988,4804,-178
9751,-817,-15088,5040,179
8803,102,-16136,4829,-177
6635,-321,-15972,4925,-178
5075,-109,-16388,4967,179
2287,-773,-17568,4951,-178
1147,-377,-16972,4869,-177
-284,-629,-17236,4919,-178
-3056,-413,-16376,5003,-179
-4392,-1885,-15636,4796,-177
-5172,-837,-15344,5161,-176
-8364,-1185,-15104,4905,-173
-9040,-1525,-13264,4817,-176
-9396,-1285,-10852,4990,-173
-12068,-1033,-11088,4910,-170
-12616,-1525,-9052,4854,-170
-13648,-1145,-7000,5073,-170
-13440,-1857,-6192,4905,-161
-14324,-1661,-3708,4821,-157
-14888,-2397,-1032,5084,-136
-13888,-1461,-956,5114,-97
